id,slot_no,status,vehicle,lot_id,road_name,lot_type,geom
1175,1175,,,Prisons Headquarters15,Prisons Headquarters,,0106000020E610000001000000010300000001000000050000007835207FFF674240FE0527E934A7F4BFF847D7A0FD674240FF1F657F31A7F4BF587515A6FD6742400074327D1EA7F4BF985E978BFF674240FEEA0B5321A7F4BF7835207FFF674240FE0527E934A7F4BF
1206,1206,,,Ministry of Health19,Ministry of Health,,0106000020E61000000100000001030000000100000006000000D8D664074168424002D540493AA8F4BF4075504F4068424000B996AF1CA8F4BFC8C56F7C406842400239CFE209A8F4BF089D228A40684240022A0EE6FDA7F4BF50A5E04241684240FE614E5B19A8F4BFD8D664074168424002D540493AA8F4BF
1240,1240,,,Ministry of Health53,Ministry of Health,,0106000020E610000001000000010300000001000000050000002899FD7046684240FFD71D1861A6F4BF4818D1A64568424002C1B3746DA6F4BFC08630B6446842400253E43638A6F4BFC8654E9745684240FFF76C942AA6F4BF2899FD7046684240FFD71D1861A6F4BF
1342,1342,,,Ministry of Transport17,Ministry of Transport,,0106000020E61000000100000001030000000100000005000000F8F80D4BF7674240021BFE2656AEF4BFF05C8CACF5674240015183DB6DAEF4BF88E79034F56742400105F73357AEF4BF70F765E2F66742400154089F3EAEF4BFF8F80D4BF7674240021BFE2656AEF4BF
1451,1451,,,Sacco Societies Reugulatory Authority5,Sacco Societies Reugulatory Authority,,0106000020E61000000100000001030000000100000005000000F8316B9E2D684240FEA945EB78C1F4BF90AF45242D6842400029DE3D4AC1F4BFF8646DDC2D684240FFB975C442C1F4BF686936482E6842400054E02C71C1F4BFF8316B9E2D684240FEA945EB78C1F4BF
1762,1762,,,Oxford Uni EA3,Oxford Uni EA,,0106000020E61000000100000001030000000100000005000000C0DB1128046842400196D910B1DBF4BFE0F50B7603684240018C9A68BDDBF4BFB8057ED30268424000E5A65E9BDBF4BF40DE5A7C03684240FE364DA98FDBF4BFC0DB1128046842400196D910B1DBF4BF
1797,1797,,,Don Bosco Church16,Don Bosco Church,,0106000020E6100000010000000103000000010000000500000050F28DCF0169424000BCC334A6D4F4BF905C7D3001694240FEA7EABDAFD4F4BF08136F9F00694240FF4CD72288D4F4BF40D88B360169424002C75EC47ED4F4BF50F28DCF0169424000BCC334A6D4F4BF
1832,1832,,,Don Bosco Church51,Don Bosco Church,,0106000020E610000001000000010300000001000000050000007028C6B0056942400091E65A77D5F4BF80E86C15056942400096B92B81D5F4BF98B0224F046942400258682951D5F4BF88B14DE30469424001DBD0CC47D5F4BF7028C6B0056942400091E65A77D5F4BF
1,1,available,,MBAGATHI ROAD1,Mbagathi Road,,0106000020E610000001000000010300000001000000050000002058070DEB664240FEF34E516AE9F4BF288539E1E8664240FED4681B7AE9F4BF30324DBAE8664240FF88918D56E9F4BFE0C935DFEA664240010750D24AE9F4BF2058070DEB664240FEF34E516AE9F4BF
113,113,available,,KMTC36,KMTC,,0106000020E61000000100000001030000000100000005000000D0E7AF6CF3664240FE606B4956CCF4BF5881580BF3664240FFDD6DB3B8CCF4BF1023DAB4F0664240FF1CDAFFB4CCF4BF005ACED3F0664240014EE85852CCF4BFD0E7AF6CF3664240FE606B4956CCF4BF
153,153,available,,KNH18,KNH,,0106000020E6100000010000000103000000010000000500000040747ADE0D6742400172180152C9F4BF88ED888C0C674240010B41644AC9F4BFB0FCAB940C67424000D347222CC9F4BF58B3FDE70D67424000D0C31F31C9F4BF40747ADE0D6742400172180152C9F4BF
187,187,available,,KNH52,KNH,,0106000020E6100000010000000103000000010000000500000040747ADE0D6742400172180152C9F4BFE0456AD70D674240FF1A20686AC9F4BF18E380860C67424002A3CCD860C9F4BF88ED888C0C674240010B41644AC9F4BF40747ADE0D6742400172180152C9F4BF
231,231,available,,KNH96,KNH,,0106000020E610000001000000010300000001000000050000006009A57B1267424002E93BF7D2C7F4BFD043AEED1067424002F760C6D2C7F4BF408722DF10674240013DCA16B6C7F4BFA8125B6A12674240FFF173D6B6C7F4BF6009A57B1267424002E93BF7D2C7F4BF
329,329,available,,KNH194,KNH,,0106000020E6100000010000000103000000010000000500000098F7291574674240017F771B69D3F4BFD835D1897267424000A459946AD3F4BFA8D0778C7267424001E2D6AC4CD3F4BF5836AE177467424001E2D6AC4CD3F4BF98F7291574674240017F771B69D3F4BF
372,372,available,,KNH237,KNH,,0106000020E610000001000000010300000001000000050000000069CA7E786742400236A1D19CD3F4BF582914C176674240014FCB3F95D3F4BF10ECB5C976674240028100F372D3F4BF8034CF9078674240028100F372D3F4BF0069CA7E786742400236A1D19CD3F4BF
467,467,available,,Marketing Society3,Marketing Society of Kenya,,0106000020E61000000100000001030000000100000005000000E8D220BB816642400055ADD8A1D2F4BF40E115C3806642400234581FACD2F4BFF05BFA5880664240FFBF030D7AD2F4BF3084CF5581664240FF11180972D2F4BFE8D220BB816642400055ADD8A1D2F4BF
3,3,,,MBAGATHI ROAD3,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000D8FA9F1FED664240FF3F08425EE9F4BFD84845E2EC66424001CA7F1D3FE9F4BF10A252E5EE664240FF45F46833E9F4BF989D3832EF664240FE43063352E9F4BFD8FA9F1FED664240FF3F08425EE9F4BF
4,4,,,MBAGATHI ROAD4,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000F81BFC50EB6642400138E9222AE9F4BF18730F2AED66424000D1149C22E9F4BF20DD033FED664240FEDCBC3137E9F4BFC0ABF265EB664240018C4CB83EE9F4BFF81BFC50EB6642400138E9222AE9F4BF
5,5,available,,MBAGATHI ROAD5,Mbagathi Road,,0106000020E6100000010000000103000000010000000500000088283CC1EE66424001D621AB19E9F4BF20B24F3AF0664240FEACDEFA13E9F4BFE841464FF0664240FF4805B029E9F4BF50B832D6EE664240017248602FE9F4BF88283CC1EE66424001D621AB19E9F4BF
6,6,available,,MBAGATHI ROAD6,Mbagathi Road,,0106000020E610000001000000010300000001000000050000002058070DEB664240FEF34E516AE9F4BFE0C935DFEA664240010750D24AE9F4BFD84845E2EC66424001CA7F1D3FE9F4BFD8FA9F1FED664240FF3F08425EE9F4BF2058070DEB664240FEF34E516AE9F4BF
7,7,,,MBAGATHI ROAD7,Mbagathi Road,,0106000020E610000001000000010300000001000000050000007086AA51F56642400167563F01E7F4BFD84161C7F4664240FE3628BF17E7F4BFD0CFD458F3664240FFCCB66DF4E6F4BFC03EE6E2F3664240FE2B4AF7DDE6F4BF7086AA51F56642400167563F01E7F4BF
8,8,,,MBAGATHI ROAD8,Mbagathi Road,,0106000020E610000001000000010300000001000000050000003029D8C8F3664240FF2D22FE1FE7F4BFB82950BEF266424000EFF80D4BE7F4BF400CAE05F2664240FECA89BA32E7F4BFF07207DAF266424002C9E90E09E7F4BF3029D8C8F3664240FF2D22FE1FE7F4BF
9,9,,,MBAGATHI ROAD9,Mbagathi Road,,0106000020E610000001000000010300000001000000050000007086AA51F56642400167563F01E7F4BFC03EE6E2F3664240FE2B4AF7DDE6F4BFF087F56CF4664240018ADD80C7E6F4BF08CBF3DBF5664240009884BFEAE6F4BF7086AA51F56642400167563F01E7F4BF
10,10,,,MBAGATHI ROAD10,Mbagathi Road,,0106000020E610000001000000010300000001000000060000003029D8C8F3664240FF2D22FE1FE7F4BFF07207DAF266424002C9E90E09E7F4BFD0CFD458F3664240FFCCB66DF4E6F4BFD84161C7F4664240FE3628BF17E7F4BFC8DB0749F4664240FE8ED54D2CE7F4BF3029D8C8F3664240FF2D22FE1FE7F4BF
517,517,available,,Optic Orthodox Church15,Optic Orthodox Church,,0106000020E61000000100000001030000000100000005000000A8D1DC5E2066424001BA9198F1C5F4BFF08429FA1E66424000FFE7F3FBC5F4BFA04C64D21E664240FFDB87BEE6C5F4BFF8CBEE3620664240026F604CDCC5F4BFA8D1DC5E2066424001BA9198F1C5F4BF
877,877,available,,Argwings Kodhek Road2,Argwings Kodhek Road,,0106000020E6100000010000000103000000010000000500000038BCB3F222674240006F107FDDB9F4BFB0E8930521674240FFDCB4C0EEB9F4BF18EF27CD20674240FE00F78DC6B9F4BFF87E29C42267424000F78B92BDB9F4BF38BCB3F222674240006F107FDDB9F4BF
11,11,,,MBAGATHI ROAD11,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000E0A7DBC0FA664240028D5E6809E5F4BF087EE324FA664240010CC7CD52E5F4BF30BF281BF8664240019B65D73CE5F4BF901858C2F8664240FF8B6A2AEEE4F4BFE0A7DBC0FA664240028D5E6809E5F4BF
12,12,,,MBAGATHI ROAD12,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000D0578718F9664240021BE017D1E5F4BF504839D2F86642400051482DF2E5F4BF989948BFF6664240FE78588CE0E5F4BF286D0917F7664240000AD240B7E5F4BFD0578718F9664240021BE017D1E5F4BF
13,13,,,MBAGATHI ROAD13,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000A02A4B86F9664240003E35709DE5F4BFD0578718F9664240021BE017D1E5F4BF286D0917F7664240000AD240B7E5F4BFB0E5A483F7664240FF4DBD2484E5F4BFA02A4B86F9664240003E35709DE5F4BF
14,14,,,MBAGATHI ROAD14,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000087EE324FA664240010CC7CD52E5F4BFA02A4B86F9664240003E35709DE5F4BFB0E5A483F7664240FF4DBD2484E5F4BF30BF281BF8664240019B65D73CE5F4BF087EE324FA664240010CC7CD52E5F4BF
15,15,,,MBAGATHI ROAD15,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000E0A7DBC0FA664240028D5E6809E5F4BF901858C2F8664240FF8B6A2AEEE4F4BF50051A0EF9664240FE559C83CAE4F4BF10B40A21FB664240FEE5D024DCE4F4BFE0A7DBC0FA664240028D5E6809E5F4BF
16,16,,,MBAGATHI ROAD16,Mbagathi Road,,0106000020E610000001000000010300000001000000050000008052B6E0F6664240FF30C3F058E6F4BFB8B78B38F6664240FFEEBAD779E6F4BF30FE42D1F4664240022C43265DE6F4BF00996D79F5664240FE6E4B3F3CE6F4BF8052B6E0F6664240FF30C3F058E6F4BF
17,17,,,MBAGATHI ROAD17,Mbagathi Road,,0106000020E610000001000000010300000001000000050000008052B6E0F6664240FF30C3F058E6F4BF00996D79F5664240FE6E4B3F3CE6F4BF100E9621F6664240006998581BE6F4BF50EDE088F76642400074CB0938E6F4BF8052B6E0F6664240FF30C3F058E6F4BF
18,18,,,MBAGATHI ROAD18,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000A80E525AF966424001A29EC43BE6F4BFA0B3F910F866424001BCE9843AE6F4BF90EB941EF866424001762C6502E6F4BF9046ED67F9664240FFA39CA403E6F4BFA80E525AF966424001A29EC43BE6F4BF
19,19,,,MBAGATHI ROAD19,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000A80E525AF966424001A29EC43BE6F4BFB8D6B64CF966424001E75BE473E6F4BFB87B5E03F8664240FFB9EBA472E6F4BFA0B3F910F866424001BCE9843AE6F4BFA80E525AF966424001A29EC43BE6F4BF
20,20,,,MBAGATHI ROAD20,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000F8ABE540E2664240FF863345D4E2F4BFB0E4F38FE0664240FE1A4903F1E2F4BF604DBF2DE066424001472376D8E2F4BFE8C313E4E1664240003AFE10BDE2F4BFF8ABE540E2664240FF863345D4E2F4BF
21,21,,,MBAGATHI ROAD21,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000583C2237E766424000779CC8EAE3F4BF609E52BBE5664240FFB6C87507E4F4BFA03DE85DE5664240FF0BE698F4E3F4BF60B144DCE6664240FEC7CB6FD8E3F4BF583C2237E766424000779CC8EAE3F4BF
22,22,,,MBAGATHI ROAD22,Mbagathi Road,,0106000020E6100000010000000103000000010000000500000028998662E4664240018F337858E3F4BF801783E2E2664240FE4FAC4B74E3F4BF884FF070E2664240FFA2B85C5DE3F4BF40CC2EEAE3664240FF677A2B40E3F4BF28998662E4664240018F337858E3F4BF
23,23,,,MBAGATHI ROAD23,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000A0A310C6E46642400235D7916CE3F4BF90D16E52E3664240FE79FEE48AE3F4BF801783E2E2664240FE4FAC4B74E3F4BF28998662E4664240018F337858E3F4BFA0A310C6E46642400235D7916CE3F4BF
24,24,,,MBAGATHI ROAD24,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000E0EDF02DE5664240029F9F8B81E3F4BF283774C7E3664240FEE12F86A2E3F4BF90D16E52E3664240FE79FEE48AE3F4BFA0A310C6E46642400235D7916CE3F4BFE0EDF02DE5664240029F9F8B81E3F4BF
25,25,,,MBAGATHI ROAD25,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000103D969CE5664240FECAE8E297E3F4BF9853ED33E4664240FE07896DB8E3F4BF283774C7E3664240FEE12F86A2E3F4BFE0EDF02DE5664240029F9F8B81E3F4BF103D969CE5664240FECAE8E297E3F4BF
26,26,,,MBAGATHI ROAD26,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000B057150AE666424000F5DEFEADE3F4BF30973885E466424000B99FD7C8E3F4BF9853ED33E4664240FE07896DB8E3F4BF103D969CE5664240FECAE8E297E3F4BFB057150AE666424000F5DEFEADE3F4BF
27,27,,,MBAGATHI ROAD27,Mbagathi Road,,0106000020E6100000010000000103000000010000000500000070224969E666424000201938C1E3F4BF086E19E7E4664240FF235D9BDCE3F4BF30973885E466424000B99FD7C8E3F4BFB057150AE666424000F5DEFEADE3F4BF70224969E666424000201938C1E3F4BF
28,28,,,MBAGATHI ROAD28,Mbagathi Road,,0106000020E6100000010000000103000000010000000500000060B144DCE6664240FEC7CB6FD8E3F4BFA03DE85DE5664240FF0BE698F4E3F4BF086E19E7E4664240FF235D9BDCE3F4BF70224969E666424000201938C1E3F4BF60B144DCE6664240FEC7CB6FD8E3F4BF
29,29,,,MBAGATHI ROAD29,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000609E52BBE5664240FFB6C87507E4F4BF583C2237E766424000779CC8EAE3F4BF90A1FD91E7664240FE256D21FDE3F4BF18FFBC18E6664240FF61AB521AE4F4BF609E52BBE5664240FFB6C87507E4F4BF
30,30,,,MBAGATHI ROAD30,Mbagathi Road,,0106000020E6100000010000000103000000010000000500000060E77091E1664240FFC7896231E3F4BF20A33338E3664240FF08F61812E3F4BF40F5F9A9E366424002908A8A2EE3F4BFB07EA5F3E1664240019CAFEF49E3F4BF60E77091E1664240FFC7896231E3F4BF
31,31,,,MBAGATHI ROAD31,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000E0CB9F37E1664240FF2FFEED1AE3F4BF40148EEBE2664240FE5092EFFEE2F4BF20A33338E3664240FF08F61812E3F4BF60E77091E1664240FFC7896231E3F4BFE0CB9F37E1664240FF2FFEED1AE3F4BF
32,32,,,MBAGATHI ROAD32,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000007C28F2E066424001EF6E9009E3F4BF506EB59DE266424002D46879EBE2F4BF40148EEBE2664240FE5092EFFEE2F4BFE0CB9F37E1664240FF2FFEED1AE3F4BF007C28F2E066424001EF6E9009E3F4BF
33,33,,,MBAGATHI ROAD33,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000B0E4F38FE0664240FE1A4903F1E2F4BFF8ABE540E2664240FF863345D4E2F4BF506EB59DE266424002D46879EBE2F4BF007C28F2E066424001EF6E9009E3F4BFB0E4F38FE0664240FE1A4903F1E2F4BF
34,34,,,MBAGATHI ROAD34,Mbagathi Road,,0106000020E6100000010000000103000000010000000500000040CC2EEAE3664240FF677A2B40E3F4BF884FF070E2664240FFA2B85C5DE3F4BF48EBBB04E2664240002F6BDE48E3F4BFE0DAA69EE36642400235BC3F2FE3F4BF40CC2EEAE3664240FF677A2B40E3F4BF
35,35,,,MBAGATHI ROAD35,Mbagathi Road,,0106000020E6100000010000000103000000010000000600000038A86671E7664240FF5A29B072E3F4BFD05DDBE0E6664240FE32444DA8E3F4BF70CD0F89E666424001B5E1EF98E3F4BF9804D4E0E5664240FF40416B76E3F4BFD0EDF878E6664240001688D83FE3F4BF38A86671E7664240FF5A29B072E3F4BF
36,36,,,MBAGATHI ROAD36,Mbagathi Road,,0106000020E610000001000000010300000001000000070000007821EC9AE466424000C7298BD9E2F4BF7035D0EEE3664240FF8FD43D10E3F4BF7036C824E366424000ED4ECAE6E2F4BFF8CF76C6E3664240FECE2EE4B3E2F4BF4828520EE4664240FEAB40DEBFE2F4BF20F62562E4664240003A6157CDE2F4BF7821EC9AE466424000C7298BD9E2F4BF
38,38,available,,MBAGATHI ROAD38,Mbagathi Road,,0106000020E61000000100000001030000000100000006000000D0EDF878E6664240001688D83FE3F4BF9804D4E0E5664240FF40416B76E3F4BFE03FB3E4E46642400007CCB042E3F4BF282E1D99E5664240011DFE2D10E3F4BFB0EA2C4DE6664240FF47ADE136E3F4BFD0EDF878E6664240001688D83FE3F4BF
39,39,available,,MBAGATHI ROAD39,Mbagathi Road,,0106000020E61000000100000001030000000100000006000000D05DDBE0E6664240FE32444DA8E3F4BF38A86671E7664240FF5A29B072E3F4BF087FF7AFE8664240FED122E2B3E3F4BF10F88790E7664240FF4E4C58C7E3F4BF38E79478E766424002CA96DAC2E3F4BFD05DDBE0E6664240FE32444DA8E3F4BF
40,40,available,,MBAGATHI ROAD40,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000A08E988AE1664240011178CF9DE2F4BF1887AB84E066424001194B7470E2F4BFE8172354E1664240FF23D34362E2F4BF60814829E2664240FFC2E4F492E2F4BFA08E988AE1664240011178CF9DE2F4BF
41,41,available,,MBAGATHI ROAD41,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000A08E988AE1664240011178CF9DE2F4BFE89BE8EBE0664240FF5E0BAAA8E2F4BF3058C516E06642400007B5F877E2F4BF1887AB84E066424001194B7470E2F4BFA08E988AE1664240011178CF9DE2F4BF
42,42,,,MBAGATHI ROAD42,Mbagathi Road,,0106000020E61000000100000001030000000100000006000000989AE5CEE6664240024C4E7BB7E2F4BFC0EC088EE8664240FEFC433298E2F4BFD8FBAF3BE9664240FE8C439FBDE2F4BF60F3214AE9664240006D6E00C1E2F4BF406A62DAE766424002F7B9C5EFE2F4BF989AE5CEE6664240024C4E7BB7E2F4BF
43,43,,,MBAGATHI ROAD43,Mbagathi Road,,0106000020E610000001000000010300000001000000060000005057377EEB664240FE31F931A9E3F4BF684E2F4FEC6642400170CD276FE3F4BFF00132F5EC66424002C68FCB94E3F4BF282EC798EC6642400184489FB9E3F4BFD0141A58EC664240FF0D6113D1E3F4BF5057377EEB664240FE31F931A9E3F4BF
44,44,,,MBAGATHI ROAD44,Mbagathi Road,,0106000020E61000000100000001030000000100000007000000300793B2EA664240025155A382E3F4BFD8476CB9EB6642400146F1944FE3F4BFB0682C34EC664240FFB1230869E3F4BF684E2F4FEC6642400170CD276FE3F4BF5057377EEB664240FE31F931A9E3F4BF286CC408EB664240027B82B293E3F4BF300793B2EA664240025155A382E3F4BF
45,45,,,MBAGATHI ROAD45,Mbagathi Road,,0106000020E6100000010000000103000000010000000500000050163339EA66424001D3BE9D6AE3F4BFE8DCA35AEB664240FFFFBAEE3BE3F4BFD8476CB9EB6642400146F1944FE3F4BF300793B2EA664240025155A382E3F4BF50163339EA66424001D3BE9D6AE3F4BF
46,46,,,MBAGATHI ROAD46,Mbagathi Road,,0106000020E61000000100000001030000000100000006000000E0EE08BBE9664240FF3339A551E3F4BF807F83F6EA664240008FAA3F25E3F4BF4801AA3EEB6642400193032236E3F4BFE8DCA35AEB664240FFFFBAEE3BE3F4BF50163339EA66424001D3BE9D6AE3F4BFE0EE08BBE9664240FF3339A551E3F4BF
47,47,,,MBAGATHI ROAD47,Mbagathi Road,,0106000020E6100000010000000103000000010000000600000070FFA339E9664240FE93B4CE37E3F4BF30F96A77EA6642400052C38107E3F4BF807F83F6EA664240008FAA3F25E3F4BFE0EE08BBE9664240FF3339A551E3F4BF585AA059E966424000E8C45D3EE3F4BF70FFA339E9664240FE93B4CE37E3F4BF
48,48,,,MBAGATHI ROAD48,Mbagathi Road,,0106000020E6100000010000000103000000010000000500000078CD47C6E866424000BE432620E3F4BF38C0A61DEA664240020B3280F2E2F4BF30F96A77EA6642400052C38107E3F4BF70FFA339E9664240FE93B4CE37E3F4BF78CD47C6E866424000BE432620E3F4BF
49,49,,,MBAGATHI ROAD49,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000C02E5650E8664240FFDAFEF507E3F4BFE870ACACE9664240FF27DD0FD8E2F4BF38C0A61DEA664240020B3280F2E2F4BF78CD47C6E866424000BE432620E3F4BFC02E5650E8664240FFDAFEF507E3F4BF
50,50,,,MBAGATHI ROAD50,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000406A62DAE766424002F7B9C5EFE2F4BF60F3214AE9664240006D6E00C1E2F4BFE870ACACE9664240FF27DD0FD8E2F4BFC02E5650E8664240FFDAFEF507E3F4BF406A62DAE766424002F7B9C5EFE2F4BF
51,51,,,MBAGATHI ROAD51,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000C0EC088EE8664240FEFC433298E2F4BF989AE5CEE6664240024C4E7BB7E2F4BFA05E5301E666424001D876388CE2F4BFE8B75FE0E7664240FE6B44C572E2F4BFC0EC088EE8664240FEFC433298E2F4BF
